Date,Close,Open,High,Low,count,zhangdie
2020年10月2日,415.09,421.39,439.13,415,71.43M,-7.38%
2020年10月1日,448.16,440.76,448.88,434.42,50.74M,4.46%
2020年9月30日,429.01,421.32,433.93,420.47,48.15M,2.37%
2020年9月29日,419.07,416,428.5,411.6,50.34M,-0.51%
2020年9月28日,421.2,424.62,428.08,415.55,49.72M,3.40%
2020年9月25日,407.34,393.47,408.73,391.3,67.21M,5.04%
2020年9月24日,387.79,363.8,399.5,351.3,96.56M,1.95%
2020年9月23日,380.36,405.16,412.15,375.88,95.07M,-10.34%
2020年9月22日,424.23,429.6,437.76,417.6,79.58M,-5.60%
2020年9月21日,449.39,453.13,455.68,407.07,109.48M,1.64%
2020年9月18日,442.15,447.94,451,428.8,86.41M,4.42%
2020年9月17日,423.43,415.6,437.79,408,76.78M,-4.15%
2020年9月16日,441.76,439.87,457.79,435.31,72.55M,-1.78%
2020年9月15日,449.76,436.56,461.94,430.7,97.30M,7.18%
2020年9月14日,419.62,380.95,420,373.3,83.02M,12.58%
2020年9月11日,372.72,381.94,382.5,360.5,60.72M,0.37%
2020年9月10日,371.34,386.21,398.99,360.56,84.93M,1.38%
2020年9月9日,366.28,356.6,369,341.51,79.47M,10.92%
2020年9月8日,330.21,356,368.74,329.88,115.47M,-21.06%
2020年9月4日,418.32,402.81,428,372.02,110.32M,2.78%
2020年9月3日,407,407.23,431.8,402,87.60M,-9.02%
